Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2013 May,Mid-West - houses,Base,86.3
Residential Property Price Index,2013 May,South-East - houses,Base,77.8
Residential Property Price Index,2013 May,South-West - houses,Base,78.4
Residential Property Price Index,2013 June,National - houses,Base,76
Residential Property Price Index,2013 June,Dublin - houses,Base,71.9
Residential Property Price Index,2013 June,Dublin City - houses,Base,66.7
Residential Property Price Index,2013 June,Dun Laoghaire-Rathdown - houses,Base,74.7
Residential Property Price Index,2013 June,Fingal - houses,Base,72.3
Residential Property Price Index,2013 June,South Dublin - houses,Base,72.5
Residential Property Price Index,2013 June,National excluding Dublin - houses,Base,80.8
Residential Property Price Index,2013 June,Border - houses,Base,86.8
Residential Property Price Index,2013 June,Midland - houses,Base,84.3
Residential Property Price Index,2013 June,West - houses,Base,94.8
Residential Property Price Index,2013 June,Mid-East - houses,Base,72.5
Residential Property Price Index,2013 June,Mid-West - houses,Base,84.6
Residential Property Price Index,2013 June,South-East - houses,Base,77.4
Residential Property Price Index,2013 June,South-West - houses,Base,79.8
Residential Property Price Index,2013 July,National - houses,Base,77.9
Residential Property Price Index,2013 July,Dublin - houses,Base,74.8
Residential Property Price Index,2013 July,Dublin City - houses,Base,68.5
Residential Property Price Index,2013 July,Dun Laoghaire-Rathdown - houses,Base,77.5
Residential Property Price Index,2013 July,Fingal - houses,Base,73.4
Residential Property Price Index,2013 July,South Dublin - houses,Base,73.4
Residential Property Price Index,2013 July,National excluding Dublin - houses,Base,81.6
Residential Property Price Index,2013 July,Border - houses,Base,89.5
Residential Property Price Index,2013 July,Midland - houses,Base,83.9
Residential Property Price Index,2013 July,West - houses,Base,94.8
Residential Property Price Index,2013 July,Mid-East - houses,Base,72.4
Residential Property Price Index,2013 July,Mid-West - houses,Base,85
Residential Property Price Index,2013 July,South-East - houses,Base,77.6
Residential Property Price Index,2013 July,South-West - houses,Base,79.9
Residential Property Price Index,2013 August,National - houses,Base,79.1
Residential Property Price Index,2013 August,Dublin - houses,Base,76.9
Residential Property Price Index,2013 August,Dublin City - houses,Base,70.5
Residential Property Price Index,2013 August,Dun Laoghaire-Rathdown - houses,Base,79.4
Residential Property Price Index,2013 August,Fingal - houses,Base,74.7
Residential Property Price Index,2013 August,South Dublin - houses,Base,74.9
Residential Property Price Index,2013 August,National excluding Dublin - houses,Base,81.7
Residential Property Price Index,2013 August,Border - houses,Base,89.9
Residential Property Price Index,2013 August,Midland - houses,Base,
Residential Property Price Index,2013 August,West - houses,Base,94.7
Residential Property Price Index,2013 August,Mid-East - houses,Base,72.6
Residential Property Price Index,2013 August,Mid-West - houses,Base,86.9
Residential Property Price Index,2013 August,South-East - houses,Base,76.5
Residential Property Price Index,2013 August,South-West - houses,Base,80.4
Residential Property Price Index,2013 September,National - houses,Base,80.4
Residential Property Price Index,2013 September,Dublin - houses,Base,78.4
Residential Property Price Index,2013 September,Dublin City - houses,Base,72.5
Residential Property Price Index,2013 September,Dun Laoghaire-Rathdown - houses,Base,81
Residential Property Price Index,2013 September,Fingal - houses,Base,76.4
Residential Property Price Index,2013 September,South Dublin - houses,Base,75.9
Residential Property Price Index,2013 September,National excluding Dublin - houses,Base,82.9
Residential Property Price Index,2013 September,Border - houses,Base,91.6
Residential Property Price Index,2013 September,Midland - houses,Base,81
Residential Property Price Index,2013 September,West - houses,Base,93.7
Residential Property Price Index,2013 September,Mid-East - houses,Base,74.2
Residential Property Price Index,2013 September,Mid-West - houses,Base,87.5
Residential Property Price Index,2013 September,South-East - houses,Base,76.8
Residential Property Price Index,2013 September,South-West - houses,Base,81.6
Residential Property Price Index,2013 October,National - houses,Base,80.9
Residential Property Price Index,2013 October,Dublin - houses,Base,78.8
Residential Property Price Index,2013 October,Dublin City - houses,Base,73.4
Residential Property Price Index,2013 October,Dun Laoghaire-Rathdown - houses,Base,82.8
Residential Property Price Index,2013 October,Fingal - houses,Base,77.6
Residential Property Price Index,2013 October,South Dublin - houses,Base,76.5
Residential Property Price Index,2013 October,National excluding Dublin - houses,Base,83.5
Residential Property Price Index,2013 October,Border - houses,Base,91.5
Residential Property Price Index,2013 October,Midland - houses,Base,80.6
Residential Property Price Index,2013 October,West - houses,Base,94.1
Residential Property Price Index,2013 October,Mid-East - houses,Base,74.8
Residential Property Price Index,2013 October,Mid-West - houses,Base,87.7
Residential Property Price Index,2013 October,South-East - houses,Base,78.5
Residential Property Price Index,2013 October,South-West - houses,Base,82.4
Residential Property Price Index,2013 November,National - houses,Base,81.1
Residential Property Price Index,2013 November,Dublin - houses,Base,79.4
Residential Property Price Index,2013 November,Dublin City - houses,Base,74.8
Residential Property Price Index,2013 November,Dun Laoghaire-Rathdown - houses,Base,84.8
Residential Property Price Index,2013 November,Fingal - houses,Base,77.1
Residential Property Price Index,2013 November,South Dublin - houses,Base,77.9
Residential Property Price Index,2013 November,National excluding Dublin - houses,Base,83.2
Residential Property Price Index,2013 November,Border - houses,Base,92.1
Residential Property Price Index,2013 November,Midland - houses,Base,82.9
Residential Property Price Index,2013 November,West - houses,Base,94.9
Residential Property Price Index,2013 November,Mid-East - houses,Base,75
Residential Property Price Index,2013 November,Mid-West - houses,Base,86.5
Residential Property Price Index,2013 November,South-East - houses,Base,79.1
Residential Property Price Index,2013 November,South-West - houses,Base,82.6
Residential Property Price Index,2013 December,National - houses,Base,
Residential Property Price Index,2013 December,Dublin - houses,Base,80.5
Residential Property Price Index,2013 December,Dublin City - houses,Base,76.9
Residential Property Price Index,2013 December,Dun Laoghaire-Rathdown - houses,Base,85.7
Residential Property Price Index,2013 December,Fingal - houses,Base,77.9
Residential Property Price Index,2013 December,South Dublin - houses,Base,78.9
Residential Property Price Index,2013 December,National excluding Dublin - houses,Base,84.1
Residential Property Price Index,2013 December,Border - houses,Base,91
Residential Property Price Index,2013 December,Midland - houses,Base,84.2
Residential Property Price Index,2013 December,West - houses,Base,94.4
Residential Property Price Index,2013 December,Mid-East - houses,Base,76.2
Residential Property Price Index,2013 December,Mid-West - houses,Base,87.7
Residential Property Price Index,2013 December,South-East - houses,Base,79.4
Residential Property Price Index,2013 December,South-West - houses,Base,84.4
Residential Property Price Index,2014 January,National - houses,Base,81.9
Residential Property Price Index,2014 January,Dublin - houses,Base,80.4
Residential Property Price Index,2014 January,Dublin City - houses,Base,77.5
Residential Property Price Index,2014 January,Dun Laoghaire-Rathdown - houses,Base,87.2
Residential Property Price Index,2014 January,Fingal - houses,Base,76.7
Residential Property Price Index,2014 January,South Dublin - houses,Base,79.8
Residential Property Price Index,2014 January,National excluding Dublin - houses,Base,83.9
Residential Property Price Index,2014 January,Border - houses,Base,88
Residential Property Price Index,2014 January,Midland - houses,Base,83.2
Residential Property Price Index,2014 January,West - houses,Base,94.8
Residential Property Price Index,2014 January,Mid-East - houses,Base,77.1
Residential Property Price Index,2014 January,Mid-West - houses,Base,89.4
Residential Property Price Index,2014 January,South-East - houses,Base,79.8
Residential Property Price Index,2014 January,South-West - houses,Base,84.5
Residential Property Price Index,2014 February,National - houses,Base,82.3
Residential Property Price Index,2014 February,Dublin - houses,Base,80.9
Residential Property Price Index,2014 February,Dublin City - houses,Base,78.9
Residential Property Price Index,2014 February,Dun Laoghaire-Rathdown - houses,Base,87.9
Residential Property Price Index,2014 February,Fingal - houses,Base,76.2
Residential Property Price Index,2014 February,South Dublin - houses,Base,80.5
Residential Property Price Index,2014 February,National excluding Dublin - houses,Base,84
Residential Property Price Index,2014 February,Border - houses,Base,87.9
Residential Property Price Index,2014 February,Midland - houses,Base,83.6
Residential Property Price Index,2014 February,West - houses,Base,93.6
Residential Property Price Index,2014 February,Mid-East - houses,Base,78
Residential Property Price Index,2014 February,Mid-West - houses,Base,89.3
Residential Property Price Index,2014 February,South-East - houses,Base,81.2
Residential Property Price Index,2014 February,South-West - houses,Base,84.9
Residential Property Price Index,2014 March,National - houses,Base,82.7
Residential Property Price Index,2014 March,Dublin - houses,Base,82.2
Residential Property Price Index,2014 March,Dublin City - houses,Base,79.5
Residential Property Price Index,2014 March,Dun Laoghaire-Rathdown - houses,Base,88.5
Residential Property Price Index,2014 March,Fingal - houses,Base,78.3
Residential Property Price Index,2014 March,South Dublin - houses,Base,82.4
Residential Property Price Index,2014 March,National excluding Dublin - houses,Base,83.6
Residential Property Price Index,2014 March,Border - houses,Base,86.5
Residential Property Price Index,2014 March,Midland - houses,Base,83.9
Residential Property Price Index,2014 March,West - houses,Base,91.8
Residential Property Price Index,2014 March,Mid-East - houses,Base,78.6
Residential Property Price Index,2014 March,Mid-West - houses,Base,88.3
Residential Property Price Index,2014 March,South-East - houses,Base,82.6
Residential Property Price Index,2014 March,South-West - houses,Base,84.9
Residential Property Price Index,2014 April,National - houses,Base,84.5
Residential Property Price Index,2014 April,Dublin - houses,Base,84.7
Residential Property Price Index,2014 April,Dublin City - houses,Base,81.8
Residential Property Price Index,2014 April,Dun Laoghaire-Rathdown - houses,Base,89.1
Residential Property Price Index,2014 April,Fingal - houses,Base,79.7
Residential Property Price Index,2014 April,South Dublin - houses,Base,85.4
Residential Property Price Index,2014 April,National excluding Dublin - houses,Base,84.6
Residential Property Price Index,2014 April,Border - houses,Base,
Residential Property Price Index,2014 April,Midland - houses,Base,85.6
Residential Property Price Index,2014 April,West - houses,Base,93.5
Residential Property Price Index,2014 April,Mid-East - houses,Base,79.3
Residential Property Price Index,2014 April,Mid-West - houses,Base,87.6
Residential Property Price Index,2014 April,South-East - houses,Base,83
Residential Property Price Index,2014 April,South-West - houses,Base,
Residential Property Price Index,2014 May,National - houses,Base,
Residential Property Price Index,2014 May,Dublin - houses,Base,87.5
Residential Property Price Index,2014 May,Dublin City - houses,Base,84.5
Residential Property Price Index,2014 May,Dun Laoghaire-Rathdown - houses,Base,89.2
Residential Property Price Index,2014 May,Fingal - houses,Base,83
Residential Property Price Index,2014 May,South Dublin - houses,Base,88.1
Residential Property Price Index,2014 May,National excluding Dublin - houses,Base,86
Residential Property Price Index,2014 May,Border - houses,Base,90.8
Residential Property Price Index,2014 May,Midland - houses,Base,86.3
Residential Property Price Index,2014 May,West - houses,Base,94.3
Residential Property Price Index,2014 May,Mid-East - houses,Base,80.7
Residential Property Price Index,2014 May,Mid-West - houses,Base,88.7
Residential Property Price Index,2014 May,South-East - houses,Base,84.4
Residential Property Price Index,2014 May,South-West - houses,Base,85.2
Residential Property Price Index,2014 June,National - houses,Base,89.2
Residential Property Price Index,2014 June,Dublin - houses,Base,91.4
Residential Property Price Index,2014 June,Dublin City - houses,Base,
Residential Property Price Index,2014 June,Dun Laoghaire-Rathdown - houses,Base,91.9
Residential Property Price Index,2014 June,Fingal - houses,Base,86.4
Residential Property Price Index,2014 June,South Dublin - houses,Base,90
Residential Property Price Index,2014 June,National excluding Dublin - houses,Base,87
Residential Property Price Index,2014 June,Border - houses,Base,87.7
Residential Property Price Index,2014 June,Midland - houses,Base,88.5
Residential Property Price Index,2014 June,West - houses,Base,95.1
Residential Property Price Index,2014 June,Mid-East - houses,Base,82.6
Residential Property Price Index,2014 June,Mid-West - houses,Base,90.3
Residential Property Price Index,2014 June,South-East - houses,Base,84.8
Residential Property Price Index,2014 June,South-West - houses,Base,85.4
Residential Property Price Index,2014 July,National - houses,Base,92
Residential Property Price Index,2014 July,Dublin - houses,Base,95.4
Residential Property Price Index,2014 July,Dublin City - houses,Base,91.7
Residential Property Price Index,2014 July,Dun Laoghaire-Rathdown - houses,Base,94.8
Residential Property Price Index,2014 July,Fingal - houses,Base,89.5
Residential Property Price Index,2014 July,South Dublin - houses,Base,92.9
Residential Property Price Index,2014 July,National excluding Dublin - houses,Base,88.4
Residential Property Price Index,2014 July,Border - houses,Base,87.8
Residential Property Price Index,2014 July,Midland - houses,Base,88.4
Residential Property Price Index,2014 July,West - houses,Base,95.6
Residential Property Price Index,2014 July,Mid-East - houses,Base,84.5
Residential Property Price Index,2014 July,Mid-West - houses,Base,90.4
Residential Property Price Index,2014 July,South-East - houses,Base,84.7
Residential Property Price Index,2014 July,South-West - houses,Base,87.4
Residential Property Price Index,2014 August,National - houses,Base,93.5
Residential Property Price Index,2014 August,Dublin - houses,Base,97
Residential Property Price Index,2014 August,Dublin City - houses,Base,94
Residential Property Price Index,2014 August,Dun Laoghaire-Rathdown - houses,Base,97
Residential Property Price Index,2014 August,Fingal - houses,Base,91.4
Residential Property Price Index,2014 August,South Dublin - houses,Base,95.5
Residential Property Price Index,2014 August,National excluding Dublin - houses,Base,89.9
Residential Property Price Index,2014 August,Border - houses,Base,90.3
Residential Property Price Index,2014 August,Midland - houses,Base,88.9
Residential Property Price Index,2014 August,West - houses,Base,96.6
Residential Property Price Index,2014 August,Mid-East - houses,Base,86.7
Residential Property Price Index,2014 August,Mid-West - houses,Base,89.5
Residential Property Price Index,2014 August,South-East - houses,Base,85.6
Residential Property Price Index,2014 August,South-West - houses,Base,88.8
Residential Property Price Index,2014 September,National - houses,Base,95.2
Residential Property Price Index,2014 September,Dublin - houses,Base,98.7
Residential Property Price Index,2014 September,Dublin City - houses,Base,97
Residential Property Price Index,2014 September,Dun Laoghaire-Rathdown - houses,Base,99.2
Residential Property Price Index,2014 September,Fingal - houses,Base,93.4
Residential Property Price Index,2014 September,South Dublin - houses,Base,97.3
Residential Property Price Index,2014 September,National excluding Dublin - houses,Base,91.5
Residential Property Price Index,2014 September,Border - houses,Base,90.9
Residential Property Price Index,2014 September,Midland - houses,Base,90.1
Residential Property Price Index,2014 September,West - houses,Base,98.4
Residential Property Price Index,2014 September,Mid-East - houses,Base,88.7
Residential Property Price Index,2014 September,Mid-West - houses,Base,90.2
Residential Property Price Index,2014 September,South-East - houses,Base,87.6
Residential Property Price Index,2014 September,South-West - houses,Base,89.9
Residential Property Price Index,2014 October,National - houses,Base,96.2
Residential Property Price Index,2014 October,Dublin - houses,Base,99.1
Residential Property Price Index,2014 October,Dublin City - houses,Base,98.8
Residential Property Price Index,2014 October,Dun Laoghaire-Rathdown - houses,Base,100.5
Residential Property Price Index,2014 October,Fingal - houses,Base,94.6
Residential Property Price Index,2014 October,South Dublin - houses,Base,99.1
Residential Property Price Index,2014 October,National excluding Dublin - houses,Base,93.2
Residential Property Price Index,2014 October,Border - houses,Base,93.2
Residential Property Price Index,2014 October,Midland - houses,Base,91.5
Residential Property Price Index,2014 October,West - houses,Base,99.3
Residential Property Price Index,2014 October,Mid-East - houses,Base,90.5
Residential Property Price Index,2014 October,Mid-West - houses,Base,92
Residential Property Price Index,2014 October,South-East - houses,Base,89.6
Residential Property Price Index,2014 October,South-West - houses,Base,91.4
Residential Property Price Index,2014 November,National - houses,Base,96.6
Residential Property Price Index,2014 November,Dublin - houses,Base,99
Residential Property Price Index,2014 November,Dublin City - houses,Base,100.5
Residential Property Price Index,2014 November,Dun Laoghaire-Rathdown - houses,Base,100.8
Residential Property Price Index,2014 November,Fingal - houses,Base,95.7
Residential Property Price Index,2014 November,South Dublin - houses,Base,99.8
Residential Property Price Index,2014 November,National excluding Dublin - houses,Base,94.2
Residential Property Price Index,2014 November,Border - houses,Base,94.4
Residential Property Price Index,2014 November,Midland - houses,Base,91
Residential Property Price Index,2014 November,West - houses,Base,100.4
Residential Property Price Index,2014 November,Mid-East - houses,Base,92.5
Residential Property Price Index,2014 November,Mid-West - houses,Base,92
Residential Property Price Index,2014 November,South-East - houses,Base,91.9
Residential Property Price Index,2014 November,South-West - houses,Base,92.5
Residential Property Price Index,2014 December,National - houses,Base,96
Residential Property Price Index,2014 December,Dublin - houses,Base,97.7
Residential Property Price Index,2014 December,Dublin City - houses,Base,100.3
Residential Property Price Index,2014 December,Dun Laoghaire-Rathdown - houses,Base,100.6
Residential Property Price Index,2014 December,Fingal - houses,Base,96
Residential Property Price Index,2014 December,South Dublin - houses,Base,99.7
Residential Property Price Index,2014 December,National excluding Dublin - houses,Base,94.4
Residential Property Price Index,2014 December,Border - houses,Base,95.2
Residential Property Price Index,2014 December,Midland - houses,Base,91.5
Residential Property Price Index,2014 December,West - houses,Base,98.6
Residential Property Price Index,2014 December,Mid-East - houses,Base,93.9
Residential Property Price Index,2014 December,Mid-West - houses,Base,93
Residential Property Price Index,2014 December,South-East - houses,Base,93.2
Residential Property Price Index,2014 December,South-West - houses,Base,93.8
Residential Property Price Index,2015 January,National - houses,Base,96.3
Residential Property Price Index,2015 January,Dublin - houses,Base,98
Residential Property Price Index,2015 January,Dublin City - houses,Base,100.5
Residential Property Price Index,2015 January,Dun Laoghaire-Rathdown - houses,Base,99.8
Residential Property Price Index,2015 January,Fingal - houses,Base,97.6
Residential Property Price Index,2015 January,South Dublin - houses,Base,101.4
Residential Property Price Index,2015 January,National excluding Dublin - houses,Base,94.7
Residential Property Price Index,2015 January,Border - houses,Base,94.6
Residential Property Price Index,2015 January,Midland - houses,Base,94.6
Residential Property Price Index,2015 January,West - houses,Base,96.8
Residential Property Price Index,2015 January,Mid-East - houses,Base,95.4
Residential Property Price Index,2015 January,Mid-West - houses,Base,94.7
Residential Property Price Index,2015 January,South-East - houses,Base,94.5
Residential Property Price Index,2015 January,South-West - houses,Base,94
Residential Property Price Index,2015 February,National - houses,Base,96.2
Residential Property Price Index,2015 February,Dublin - houses,Base,97.9
Residential Property Price Index,2015 February,Dublin City - houses,Base,100.8
Residential Property Price Index,2015 February,Dun Laoghaire-Rathdown - houses,Base,98.1
Residential Property Price Index,2015 February,Fingal - houses,Base,98.2
Residential Property Price Index,2015 February,South Dublin - houses,Base,102
Residential Property Price Index,2015 February,National excluding Dublin - houses,Base,94.6
Residential Property Price Index,2015 February,Border - houses,Base,95
Residential Property Price Index,2015 February,Midland - houses,Base,95.1
Residential Property Price Index,2015 February,West - houses,Base,95.7
Residential Property Price Index,2015 February,Mid-East - houses,Base,96.1
Residential Property Price Index,2015 February,Mid-West - houses,Base,94.1
Residential Property Price Index,2015 February,South-East - houses,Base,95.4
Residential Property Price Index,2015 February,South-West - houses,Base,
Residential Property Price Index,2015 March,National - houses,Base,96.7
Residential Property Price Index,2015 March,Dublin - houses,Base,98.7
Residential Property Price Index,2015 March,Dublin City - houses,Base,100.2
Residential Property Price Index,2015 March,Dun Laoghaire-Rathdown - houses,Base,99.3
Residential Property Price Index,2015 March,Fingal - houses,Base,98.5
Residential Property Price Index,2015 March,South Dublin - houses,Base,102.1
Residential Property Price Index,2015 March,National excluding Dublin - houses,Base,94.9
Residential Property Price Index,2015 March,Border - houses,Base,95.7
Residential Property Price Index,2015 March,Midland - houses,Base,96.4
Residential Property Price Index,2015 March,West - houses,Base,96
Residential Property Price Index,2015 March,Mid-East - houses,Base,96.4
Residential Property Price Index,2015 March,Mid-West - houses,Base,95.5
Residential Property Price Index,2015 March,South-East - houses,Base,94.8
Residential Property Price Index,2015 March,South-West - houses,Base,95.5
Residential Property Price Index,2015 April,National - houses,Base,97.6
Residential Property Price Index,2015 April,Dublin - houses,Base,98.7
Residential Property Price Index,2015 April,Dublin City - houses,Base,99.2
Residential Property Price Index,2015 April,Dun Laoghaire-Rathdown - houses,Base,99.9
Residential Property Price Index,2015 April,Fingal - houses,Base,98.3
Residential Property Price Index,2015 April,South Dublin - houses,Base,101.6
Residential Property Price Index,2015 April,National excluding Dublin - houses,Base,96.7
Residential Property Price Index,2015 April,Border - houses,Base,95.9
Residential Property Price Index,2015 April,Midland - houses,Base,95.5
Residential Property Price Index,2015 April,West - houses,Base,96.9
Residential Property Price Index,2015 April,Mid-East - houses,Base,97.4
Residential Property Price Index,2015 April,Mid-West - houses,Base,96.6
Residential Property Price Index,2015 April,South-East - houses,Base,96.7
Residential Property Price Index,2015 April,South-West - houses,Base,97.4
Residential Property Price Index,2015 May,National - houses,Base,98.7
Residential Property Price Index,2015 May,Dublin - houses,Base,98.9
Residential Property Price Index,2015 May,Dublin City - houses,Base,99.1
Residential Property Price Index,2015 May,Dun Laoghaire-Rathdown - houses,Base,99
Residential Property Price Index,2015 May,Fingal - houses,Base,99.4
Residential Property Price Index,2015 May,South Dublin - houses,Base,
Residential Property Price Index,2015 May,National excluding Dublin - houses,Base,98.4
Residential Property Price Index,2015 May,Border - houses,Base,96.6
Residential Property Price Index,2015 May,Midland - houses,Base,95.8
Residential Property Price Index,2015 May,West - houses,Base,98
Residential Property Price Index,2015 May,Mid-East - houses,Base,98.4
Residential Property Price Index,2015 May,Mid-West - houses,Base,99.1
Residential Property Price Index,2015 May,South-East - houses,Base,98.2
Residential Property Price Index,2015 May,South-West - houses,Base,98.7
Residential Property Price Index,2015 June,National - houses,Base,100
Residential Property Price Index,2015 June,Dublin - houses,Base,99.8
Residential Property Price Index,2015 June,Dublin City - houses,Base,99.3
Residential Property Price Index,2015 June,Dun Laoghaire-Rathdown - houses,Base,99.4
Residential Property Price Index,2015 June,Fingal - houses,Base,99.9
Residential Property Price Index,2015 June,South Dublin - houses,Base,100
Residential Property Price Index,2015 June,National excluding Dublin - houses,Base,100.2
Residential Property Price Index,2015 June,Border - houses,Base,98.4
Residential Property Price Index,2015 June,Midland - houses,Base,96.9
Residential Property Price Index,2015 June,West - houses,Base,100.5
Residential Property Price Index,2015 June,Mid-East - houses,Base,99.7
Residential Property Price Index,2015 June,Mid-West - houses,Base,100.7
Residential Property Price Index,2015 June,South-East - houses,Base,99.6
Residential Property Price Index,2015 June,South-West - houses,Base,99.4
Residential Property Price Index,2015 July,National - houses,Base,100.7
Residential Property Price Index,2015 July,Dublin - houses,Base,100
Residential Property Price Index,2015 July,Dublin City - houses,Base,99.1
Residential Property Price Index,2015 July,Dun Laoghaire-Rathdown - houses,Base,99.6
Residential Property Price Index,2015 July,Fingal - houses,Base,100.1
Residential Property Price Index,2015 July,South Dublin - houses,Base,99.5
Residential Property Price Index,2015 July,National excluding Dublin - houses,Base,101.3
Residential Property Price Index,2015 July,Border - houses,Base,99.8
Residential Property Price Index,2015 July,Midland - houses,Base,98.1
Residential Property Price Index,2015 July,West - houses,Base,101.2
Residential Property Price Index,2015 July,Mid-East - houses,Base,100.9
Residential Property Price Index,2015 July,Mid-West - houses,Base,102.1
Residential Property Price Index,2015 July,South-East - houses,Base,101
Residential Property Price Index,2015 July,South-West - houses,Base,100
Residential Property Price Index,2015 August,National - houses,Base,101.8
Residential Property Price Index,2015 August,Dublin - houses,Base,101
Residential Property Price Index,2015 August,Dublin City - houses,Base,99.7
Residential Property Price Index,2015 August,Dun Laoghaire-Rathdown - houses,Base,99.9
Residential Property Price Index,2015 August,Fingal - houses,Base,100.7
Residential Property Price Index,2015 August,South Dublin - houses,Base,99.5
Residential Property Price Index,2015 August,National excluding Dublin - houses,Base,102.6
Residential Property Price Index,2015 August,Border - houses,Base,103
Residential Property Price Index,2015 August,Midland - houses,Base,102
Residential Property Price Index,2015 August,West - houses,Base,101.6
Residential Property Price Index,2015 August,Mid-East - houses,Base,101.7
Residential Property Price Index,2015 August,Mid-West - houses,Base,102.5
Residential Property Price Index,2015 August,South-East - houses,Base,103
Residential Property Price Index,2015 August,South-West - houses,Base,101.2
Residential Property Price Index,2015 September,National - houses,Base,102.2
Residential Property Price Index,2015 September,Dublin - houses,Base,100.9
Residential Property Price Index,2015 September,Dublin City - houses,Base,99.3
Residential Property Price Index,2015 September,Dun Laoghaire-Rathdown - houses,Base,100.3
Residential Property Price Index,2015 September,Fingal - houses,Base,101
Residential Property Price Index,2015 September,South Dublin - houses,Base,99.5
Residential Property Price Index,2015 September,National excluding Dublin - houses,Base,103.3
Residential Property Price Index,2015 September,Border - houses,Base,104.5
Residential Property Price Index,2015 September,Midland - houses,Base,104.3
Residential Property Price Index,2015 September,West - houses,Base,101.3
Residential Property Price Index,2015 September,Mid-East - houses,Base,102.5
Residential Property Price Index,2015 September,Mid-West - houses,Base,103.4
Residential Property Price Index,2015 September,South-East - houses,Base,103.6
Residential Property Price Index,2015 September,South-West - houses,Base,102.8
Residential Property Price Index,2015 October,National - houses,Base,103.2
Residential Property Price Index,2015 October,Dublin - houses,Base,101.9
Residential Property Price Index,2015 October,Dublin City - houses,Base,100.5
Residential Property Price Index,2015 October,Dun Laoghaire-Rathdown - houses,Base,100.4
Residential Property Price Index,2015 October,Fingal - houses,Base,102.3
Residential Property Price Index,2015 October,South Dublin - houses,Base,98.7
Residential Property Price Index,2015 October,National excluding Dublin - houses,Base,104.5
Residential Property Price Index,2015 October,Border - houses,Base,105.2
Residential Property Price Index,2015 October,Midland - houses,Base,106.2
Residential Property Price Index,2015 October,West - houses,Base,103
Residential Property Price Index,2015 October,Mid-East - houses,Base,103.8
Residential Property Price Index,2015 October,Mid-West - houses,Base,102.9
Residential Property Price Index,2015 October,South-East - houses,Base,104.4
Residential Property Price Index,2015 October,South-West - houses,Base,104.7
Residential Property Price Index,2015 November,National - houses,Base,103.3
Residential Property Price Index,2015 November,Dublin - houses,Base,102.3
Residential Property Price Index,2015 November,Dublin City - houses,Base,101.3
Residential Property Price Index,2015 November,Dun Laoghaire-Rathdown - houses,Base,102
Residential Property Price Index,2015 November,Fingal - houses,Base,102.1
Residential Property Price Index,2015 November,South Dublin - houses,Base,97.3
Residential Property Price Index,2015 November,National excluding Dublin - houses,Base,104.3
Residential Property Price Index,2015 November,Border - houses,Base,105.1
Residential Property Price Index,2015 November,Midland - houses,Base,106.3
Residential Property Price Index,2015 November,West - houses,Base,104.3
Residential Property Price Index,2015 November,Mid-East - houses,Base,103.8
Residential Property Price Index,2015 November,Mid-West - houses,Base,103.6
Residential Property Price Index,2015 November,South-East - houses,Base,104.2
Residential Property Price Index,2015 November,South-West - houses,Base,105.6
Residential Property Price Index,2015 December,National - houses,Base,103.3
Residential Property Price Index,2015 December,Dublin - houses,Base,101.9
Residential Property Price Index,2015 December,Dublin City - houses,Base,101.1
Residential Property Price Index,2015 December,Dun Laoghaire-Rathdown - houses,Base,102.4
Residential Property Price Index,2015 December,Fingal - houses,Base,101.7
Residential Property Price Index,2015 December,South Dublin - houses,Base,97.5
Residential Property Price Index,2015 December,National excluding Dublin - houses,Base,104.5
Residential Property Price Index,2015 December,Border - houses,Base,106.2
Residential Property Price Index,2015 December,Midland - houses,Base,108.9
Residential Property Price Index,2015 December,West - houses,Base,104.8
Residential Property Price Index,2015 December,Mid-East - houses,Base,103.9
Residential Property Price Index,2015 December,Mid-West - houses,Base,104.8
Residential Property Price Index,2015 December,South-East - houses,Base,104.5
Residential Property Price Index,2015 December,South-West - houses,Base,105.6
Residential Property Price Index,2016 January,National - houses,Base,104.1
Residential Property Price Index,2016 January,Dublin - houses,Base,103.3
Residential Property Price Index,2016 January,Dublin City - houses,Base,101.3
Residential Property Price Index,2016 January,Dun Laoghaire-Rathdown - houses,Base,103.8
Residential Property Price Index,2016 January,Fingal - houses,Base,103.3
Residential Property Price Index,2016 January,South Dublin - houses,Base,99
Residential Property Price Index,2016 January,National excluding Dublin - houses,Base,104.9
Residential Property Price Index,2016 January,Border - houses,Base,108.2
Residential Property Price Index,2016 January,Midland - houses,Base,110.5
Residential Property Price Index,2016 January,West - houses,Base,104.7
Residential Property Price Index,2016 January,Mid-East - houses,Base,102.9
Residential Property Price Index,2016 January,Mid-West - houses,Base,104.7
Residential Property Price Index,2016 January,South-East - houses,Base,104.8
Residential Property Price Index,2016 January,South-West - houses,Base,108
Residential Property Price Index,2016 February,National - houses,Base,103.4
Residential Property Price Index,2016 February,Dublin - houses,Base,102.4
Residential Property Price Index,2016 February,Dublin City - houses,Base,100.8
Residential Property Price Index,2016 February,Dun Laoghaire-Rathdown - houses,Base,103.3
Residential Property Price Index,2016 February,Fingal - houses,Base,103.3
Residential Property Price Index,2016 February,South Dublin - houses,Base,98.9
Residential Property Price Index,2016 February,National excluding Dublin - houses,Base,104.4
Residential Property Price Index,2016 February,Border - houses,Base,105.2
Residential Property Price Index,2016 February,Midland - houses,Base,109.5
