Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2008 February,Midland - houses,Base,
Residential Property Price Index,2008 February,West - houses,Base,
Residential Property Price Index,2008 February,Mid-East - houses,Base,
Residential Property Price Index,2008 February,Mid-West - houses,Base,
Residential Property Price Index,2008 February,South-East - houses,Base,
Residential Property Price Index,2008 February,South-West - houses,Base,
Residential Property Price Index,2008 March,National - houses,Base,153.2
Residential Property Price Index,2008 March,Dublin - houses,Base,142.4
Residential Property Price Index,2008 March,Dublin City - houses,Base,
Residential Property Price Index,2008 March,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 March,Fingal - houses,Base,
Residential Property Price Index,2008 March,South Dublin - houses,Base,
Residential Property Price Index,2008 March,National excluding Dublin - houses,Base,175.8
Residential Property Price Index,2008 March,Border - houses,Base,
Residential Property Price Index,2008 March,Midland - houses,Base,
Residential Property Price Index,2008 March,West - houses,Base,
Residential Property Price Index,2008 March,Mid-East - houses,Base,
Residential Property Price Index,2008 March,Mid-West - houses,Base,
Residential Property Price Index,2008 March,South-East - houses,Base,
Residential Property Price Index,2008 March,South-West - houses,Base,
Residential Property Price Index,2008 April,National - houses,Base,152.1
Residential Property Price Index,2008 April,Dublin - houses,Base,143.6
Residential Property Price Index,2008 April,Dublin City - houses,Base,
Residential Property Price Index,2008 April,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 April,Fingal - houses,Base,
Residential Property Price Index,2008 April,South Dublin - houses,Base,
Residential Property Price Index,2008 April,National excluding Dublin - houses,Base,173.7
Residential Property Price Index,2008 April,Border - houses,Base,
Residential Property Price Index,2008 April,Midland - houses,Base,
Residential Property Price Index,2008 April,West - houses,Base,
Residential Property Price Index,2008 April,Mid-East - houses,Base,
Residential Property Price Index,2008 April,Mid-West - houses,Base,
Residential Property Price Index,2008 April,South-East - houses,Base,
Residential Property Price Index,2008 April,South-West - houses,Base,
Residential Property Price Index,2008 May,National - houses,Base,151
Residential Property Price Index,2008 May,Dublin - houses,Base,145.9
Residential Property Price Index,2008 May,Dublin City - houses,Base,
Residential Property Price Index,2008 May,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 May,Fingal - houses,Base,
Residential Property Price Index,2008 May,South Dublin - houses,Base,
Residential Property Price Index,2008 May,National excluding Dublin - houses,Base,171
Residential Property Price Index,2008 May,Border - houses,Base,
Residential Property Price Index,2008 May,Midland - houses,Base,
Residential Property Price Index,2008 May,West - houses,Base,
Residential Property Price Index,2008 May,Mid-East - houses,Base,
Residential Property Price Index,2008 May,Mid-West - houses,Base,
Residential Property Price Index,2008 May,South-East - houses,Base,
Residential Property Price Index,2008 May,South-West - houses,Base,
Residential Property Price Index,2008 June,National - houses,Base,149.7
Residential Property Price Index,2008 June,Dublin - houses,Base,145.6
Residential Property Price Index,2008 June,Dublin City - houses,Base,
Residential Property Price Index,2008 June,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 June,Fingal - houses,Base,
Residential Property Price Index,2008 June,South Dublin - houses,Base,
Residential Property Price Index,2008 June,National excluding Dublin - houses,Base,169.1
Residential Property Price Index,2008 June,Border - houses,Base,
Residential Property Price Index,2008 June,Midland - houses,Base,
Residential Property Price Index,2008 June,West - houses,Base,
Residential Property Price Index,2008 June,Mid-East - houses,Base,
Residential Property Price Index,2008 June,Mid-West - houses,Base,
Residential Property Price Index,2008 June,South-East - houses,Base,
Residential Property Price Index,2008 June,South-West - houses,Base,
Residential Property Price Index,2008 July,National - houses,Base,148.9
Residential Property Price Index,2008 July,Dublin - houses,Base,144
Residential Property Price Index,2008 July,Dublin City - houses,Base,
Residential Property Price Index,2008 July,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 July,Fingal - houses,Base,
Residential Property Price Index,2008 July,South Dublin - houses,Base,
Residential Property Price Index,2008 July,National excluding Dublin - houses,Base,168.5
Residential Property Price Index,2008 July,Border - houses,Base,
Residential Property Price Index,2008 July,Midland - houses,Base,
Residential Property Price Index,2008 July,West - houses,Base,
Residential Property Price Index,2008 July,Mid-East - houses,Base,
Residential Property Price Index,2008 July,Mid-West - houses,Base,
Residential Property Price Index,2008 July,South-East - houses,Base,
Residential Property Price Index,2008 July,South-West - houses,Base,
Residential Property Price Index,2008 August,National - houses,Base,147.5
Residential Property Price Index,2008 August,Dublin - houses,Base,142.1
Residential Property Price Index,2008 August,Dublin City - houses,Base,
Residential Property Price Index,2008 August,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 August,Fingal - houses,Base,
Residential Property Price Index,2008 August,South Dublin - houses,Base,
Residential Property Price Index,2008 August,National excluding Dublin - houses,Base,167.2
Residential Property Price Index,2008 August,Border - houses,Base,
Residential Property Price Index,2008 August,Midland - houses,Base,
Residential Property Price Index,2008 August,West - houses,Base,
Residential Property Price Index,2008 August,Mid-East - houses,Base,
Residential Property Price Index,2008 August,Mid-West - houses,Base,
Residential Property Price Index,2008 August,South-East - houses,Base,
Residential Property Price Index,2008 August,South-West - houses,Base,
Residential Property Price Index,2008 September,National - houses,Base,145.7
Residential Property Price Index,2008 September,Dublin - houses,Base,137.1
Residential Property Price Index,2008 September,Dublin City - houses,Base,
Residential Property Price Index,2008 September,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 September,Fingal - houses,Base,
Residential Property Price Index,2008 September,South Dublin - houses,Base,
Residential Property Price Index,2008 September,National excluding Dublin - houses,Base,166.4
Residential Property Price Index,2008 September,Border - houses,Base,
Residential Property Price Index,2008 September,Midland - houses,Base,
Residential Property Price Index,2008 September,West - houses,Base,
Residential Property Price Index,2008 September,Mid-East - houses,Base,
Residential Property Price Index,2008 September,Mid-West - houses,Base,
Residential Property Price Index,2008 September,South-East - houses,Base,
Residential Property Price Index,2008 September,South-West - houses,Base,
Residential Property Price Index,2008 October,National - houses,Base,143.3
Residential Property Price Index,2008 October,Dublin - houses,Base,133.9
Residential Property Price Index,2008 October,Dublin City - houses,Base,
Residential Property Price Index,2008 October,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 October,Fingal - houses,Base,
Residential Property Price Index,2008 October,South Dublin - houses,Base,
Residential Property Price Index,2008 October,National excluding Dublin - houses,Base,164.1
Residential Property Price Index,2008 October,Border - houses,Base,
Residential Property Price Index,2008 October,Midland - houses,Base,
Residential Property Price Index,2008 October,West - houses,Base,
Residential Property Price Index,2008 October,Mid-East - houses,Base,
Residential Property Price Index,2008 October,Mid-West - houses,Base,
Residential Property Price Index,2008 October,South-East - houses,Base,
